"","isbn","title","author","publisher","price","genre","num_pages","pub_cut","stock"
"52","9780330332774","Bridget Jones's Diary:A Novel","Fielding, Helen","Pan Macmillan Grp","8"," Literary Fiction","320","0.35","197"
"53","9780241003008","The Very Hungry Caterpillar:The Very Hungry Caterpillar","Carle, Eric","Penguin Grp","6"," Early Learning","32","0.35","25"
"54","9780747582977","Thousand Splendid Suns,A","Hosseini, Khaled","Bloomsbury Grp","12"," Literary Fiction","384","0.35","247"
"55","9781846051616","The Sound of Laughter","Kay, Peter","Random House Grp","19","eneral","288","0.35","128"
"56","9780718147709","Jamie's Italy","Oliver, Jamie","Penguin Grp","25"," Regional Cuisine","336","0.2","297"
"57","9780755307500","Small Island","Levy, Andrea","Headline Grp","8"," Literary Fiction","560","0.35","213"
"58","9780141030142","The Memory Keeper's Daughter","Edwards, Kim","Penguin Grp","8"," Literary Fiction","432","0.3","106"
"59","9780007110926","Billy Connolly","Stephenson, Pamela","HarperCollins Grp","9","he Arts","432","0.2","418"
"60","9780330448444","The House at Riverton","Morton, Kate","Pan Macmillan Grp","8"," Literary Fiction","600","0.25","213"
"61","9780747561071","Harry Potter and the Order of the Phoenix","Rowling, J. K.","Bloomsbury Grp","8","iction","768","0.35","15"
"62","9780701181840","Nigella Express","Lawson, Nigella","Random House Grp","25"," Drink: General","400","0.3","106"
"63","9780099771517","Memoirs of a Geisha","Golden, Arthur","Random House Grp","8"," Literary Fiction","512","0.2","418"
"64","9780563384311","Delia's How to Cook:(Bk.2) ","Smith, Delia","Random House Grp","20"," Drink: General","256","0.3","569"
"65","9780590112895","The Subtle Knife:His Dark Materials S.","Pullman, Philip","Scholastic Ltd. Grp","7","dult Fiction","341","0.2","309"
"66","9780718148621","Jamie's Ministry of Food:Anyone Can Learn to Cook in 24 Hours","Oliver, Jamie","Penguin Grp","25"," Drink: General","360","0.25","233"
"67","9781904994367","Guinness World Records 2009:2009","","Guinness Publisher Group","20"," General Reference","288","0.4","197"
"68","9781861978769","Why Don't Penguins' Feet Freeze?:And 114 Other Questions","","Profile Books Group","8","cience","240","0.2","4"
"69","9780718152437","Jamie at Home:Cook Your Way to the Good Life","Oliver, Jamie","Penguin Grp","30"," Drink: General","408","0.3","9"
"70","9780140276336","White Teeth","Smith, Zadie","Penguin Grp","9"," Literary Fiction","480","0.4","383"
"71","9780007156108","The Devil Wears Prada","Weisberger, Lauren","HarperCollins Grp","8"," Literary Fiction","416","0.3","528"
"72","9780593059258","At My Mother's Knee ...:and Other Low Joints","O'Grady, Paul","Transworld Grp","19","The Arts","352","0.35","443"
"73","9780752893686","No Time for Goodbye","Barclay, Linwood","Orion Grp","8","hriller & Adventure","448","0.25","321"
"74","9780007207329","New York Post Sudoku 3: The Official Utterly Addictive Number-Placing Puzzle","","HarperCollins Grp","6","","176","0.2","239"
"75","9780552998482","Chocolat","Harris, Joanne","Transworld Grp","8"," Literary Fiction","384","0.4","523"
"76","9780718144395","The Return of the Naked Chef","Oliver, Jamie","Penguin Grp","20"," Drink: General","288","0.35","465"
"77","9780006498407","Angela's Ashes:A Memoir of a Childhood","McCourt, Frank","HarperCollins Grp","8","eneral","432","0.25","75"
"78","9780747563204","Schott's Original Miscellany","Schott, Ben","Bloomsbury Grp","13"," Quiz Books","160","0.2","586"
"79","9781847670946","Dreams from My Father:A Story of Race and Inheritance","Obama, Barack","Canongate Grp","9","istorical, Political & Military","464","0.4","420"
"80","9780007232741","The Dangerous Book for Boys","Iggulden, Conn & Iggulden, Hal","HarperCollins Grp","20","astimes & Indoor Games","304","0.4","503"
"81","9780099419785","To Kill a Mockingbird","Lee, Harper","Random House Grp","7"," Literary Fiction","320","0.25","309"
"82","9780747581109","Harry Potter and the Half-blood Prince","Rowling, J. K.","Bloomsbury Grp","17","iction & Fantasy","608","0.35","509"
"83","9780099406136","The Summons","Grisham, John","Random House Grp","8","hriller & Adventure","400","0.3","82"
"84","9780552149525","The Lost Symbol","Brown, Dan","Transworld Grp","8","hriller & Adventure","672","0.4","113"
"85","9780140237504","The Catcher in the Rye","Salinger, J.D.","Penguin Grp","9"," Literary Fiction","208","0.4","91"
"86","9780593050545","I Can Make You Thin","McKenna, Paul","Transworld Grp","11"," Diet","144","0.25","315"
"87","9780718144845","Happy Days with the Naked Chef","Oliver, Jamie","Penguin Grp","20"," Drink: General","320","0.4","329"
"88","9780552771153","Brick Lane","Ali, Monica","Transworld Grp","8"," Literary Fiction","496","0.25","97"
"89","9780141019376","Anybody Out There?","Keyes, Marian","Penguin Grp","8"," Literary Fiction","608","0.4","239"
"90","9780552772747","The Undomestic Goddess","Kinsella, Sophie","Transworld Grp","8"," Literary Fiction","416","0.4","212"
"91","9780552773898","The Book Thief","Zusak, Markus","Transworld Grp","8"," Literary Fiction","560","0.3","53"
"92","9780141022925","I Know You Got Soul","Clarkson, Jeremy","Penguin Grp","8","eneral","288","0.25","131"
"93","9780316731317","Sharon Osbourne Extreme:My Autobiography","Osbourne, Sharon","Little, Brown Book Grp","19","The Arts","384","0.25","419"
"94","9781904994497","Guinness World Records 2010","","Guinness Publisher Group","20"," General Reference","287","0.4","167"
"95","9780439993586","The Amber Spyglass:His Dark Materials S.","Pullman, Philip","Scholastic Ltd. Grp","7","dult Fiction","560","0.3","262"
"96","9780552771108","Can You Keep a Secret?","Kinsella, Sophie","Transworld Grp","8"," Literary Fiction","384","0.2","255"
"97","9780552997034","Down Under","Bryson, Bill","Transworld Grp","9","riting","432","0.3","529"
"98","9780099506928","Spot of Bother,A","Haddon, Mark","Random House Grp","8"," Literary Fiction","512","0.2","208"
"99","9781846053443","Dear Fatty","French, Dawn","Random House Grp","19","The Arts","384","0.3","569"
