"isbn","title","author","publisher","price","genre","num_pages","pub_cut","stock","author_id","publisher_id"
9780752837505,"Child Called It,A","Pelzer, Dave","Orion Grp",7,"Autobiography: General",240,0.3,565,"d1d83b20-142a-4114-aad4-51aae2320c36","af57a6ce-7edb-4882-83b9-5e84b06c289d"
9780349116754,"The No.1 Ladies' Detective Agency:No.1 Ladies' Detective Agency S.","McCall Smith, Alexander","Little, Brown Book Grp",8,"Crime, Thriller & Adventure",240,0.2,459,"05994431-3578-4f3d-b73c-0aa02eab6c32","6ab3685f-dcaa-4d85-bbfe-ea9ad526cd58"
9780718147655,"You are What You Eat:The Plan That Will Change Your Life","McKeith, Gillian","Penguin Grp",15,"Fitness & Diet",224,0.3,244,"ea3b8aae-81b4-4838-bdde-b923262bf265","46e838ff-d883-443e-b892-91f61de48475"
9780006512134,"Man and Boy","Parsons, Tony","HarperCollins Grp",8,"General & Literary Fiction",368,0.2,182,"e266baa8-5566-4e65-aa20-cf30f08f7c84","e059858c-fa35-412e-b093-1903d57a5e77"
9780099387916,"Birdsong","Faulks, Sebastian","Random House Grp",8,"General & Literary Fiction",528,0.35,540,"f3c384a0-7748-4176-8090-372ed4ab47e3","df1f274e-5a30-4e69-a501-f2d1f685ff8d"
9780752877327,"Labyrinth","Mosse, Kate","Orion Grp",8,"General & Literary Fiction",752,0.4,270,"8da25f40-6c3d-47ba-9728-8cf84daecca8","71b62e7d-ac8e-46a9-a847-cb92dc0353cd"
9780755309511,"The Island","Hislop, Victoria","Headline Grp",8,"General & Literary Fiction",496,0.35,111,"a1cf3eb4-3b12-43e1-9874-5aba8d511e0f","12d0abc4-16aa-480f-806e-fdcc82b829fb"
9781841953922,"Life of Pi","Martel, Yann","Canongate Grp",8,"General & Literary Fiction",348,0.3,425,"e6634c06-b598-4d84-a714-3fd94b83ae55","b4803234-0868-42a5-ac69-84745bc219a7"
9780091889487,"Dr. Atkins' New Diet Revolution:The No-hunger, Luxurious Weight Loss P","Atkins, Robert C.","Random House Grp",9,"Fitness & Diet",560,0.4,88,"0e2cb75d-d96e-4302-afa2-971e4e76e6b8","38e24afa-cb7b-46ad-b2d1-96d4d5475586"
9780747599876,"The Tales of Beedle the Bard","Rowling, J. K.","Bloomsbury Grp",7,"Children's Fiction",128,0.35,177,"22f015e3-88bf-4609-a450-212c76dfe708","07facc0c-228d-4c2d-8c6e-0fdaa6faf4fb"
9780749397548,"Captain Corelli's Mandolin","De Bernieres, Louis","Random House Grp",8,"General & Literary Fiction",560,0.2,334,"0b1ac7b9-d3a3-4b40-a0e7-3cf661f1b5f8","4a59c675-50a7-485f-8dff-6dc370113784"
9780563384304,"Delia's How to Cook:(Bk.1) ","Smith, Delia","Random House Grp",20,"Food & Drink: General",240,0.25,15,"2ffd7189-52d4-47eb-9ee7-db93248748fa","ba610705-629a-4fa0-8ffe-5436230506c9"
9780330507417,"The Gruffalo","Donaldson, Julia","Pan Macmillan Grp",6,"Picture Books",32,0.25,226,"34b18757-f1f6-4566-8fc1-2f90ccc9323d","4c77f864-da93-4d17-a80b-817453dd1cc1"
9781861976123,"Eats, Shoots and Leaves:The Zero Tolerance Approach to Punctuation","Truss, Lynne","Profile Books Group",10,"Usage & Writing Guides",224,0.4,528,"02950c57-c36c-45e6-a725-5b1afb153fb9","8aa97619-39a3-447e-bbf0-e83224b3f699"
9780590660549,"Northern Lights:His Dark Materials S.","Pullman, Philip","Scholastic Ltd. Grp",7,"Young Adult Fiction",416,0.3,447,"53df661d-6ceb-4f06-863d-8cdcd6ffd94d","fbeace13-c16f-495f-a128-a8144ffc30a6"
9780755331420,"The Interpretation of Murder","Rubenfeld, Jed","Headline Grp",8,"Crime, Thriller & Adventure",576,0.4,347,"ce5cc161-ad1c-4a9f-8eae-21548733a392","d7c9ab40-1d41-4b7a-8294-ab1094c17486"
9781849162746,"The Girl Who Kicked the Hornets' Nest:Millennium Trilogy","Larsson, Stieg","Quercus Grp",8,"Crime, Thriller & Adventure",656,0.2,49,"06de1351-e993-4653-afac-205b323541fb","c1b4fa27-6e01-40bd-874f-2c498ac49582"
9780330367356,"Bridget Jones: The Edge of Reason","Fielding, Helen","Pan Macmillan Grp",8,"General & Literary Fiction",432,0.3,383,"a065aa2a-ebb2-458c-ae3a-58c3c1792adb","685350e1-9304-49ab-aa0a-1abcb101e351"
9780141020525,"Short History of Tractors in Ukrainian,A","Lewycka, Marina","Penguin Grp",8,"General & Literary Fiction",336,0.3,476,"24c9614c-f98d-4ea2-bbb2-cd4ff0a48a5b","ee85fdfb-dc5a-44ac-9f8b-673161e8516d"
9780722532935,"The Alchemist:A Fable About Following Your Dream","Coelho, Paulo","HarperCollins Grp",8,"General & Literary Fiction",224,0.4,137,"9d88885d-ed0b-4695-9e21-4d41c3571e1e","148f5375-8dd0-4e10-9e4e-11d0734f0ec2"
9780552996006,"Notes from a Small Island","Bryson, Bill","Transworld Grp",9,"Travel Writing",416,0.3,18,"70ba4af2-60c3-4774-93f0-ad136eae2569","8d905370-3e96-42f9-9294-008a6d20bfb9"
9780099487821,"The Boy in the Striped Pyjamas","Boyne, John","Transworld Grp",7,"Young Adult Fiction",224,0.4,586,"9f0e5477-bad5-4b45-948e-77c6c8ed6f2d","0472f829-2480-4dc9-93cc-560fe3a863e4"
9780141011905,"Stupid White Men:...and Other Sorry Excuses for the State of the Natio","Moore, Michael","Penguin Grp",8,"Current Affairs & Issues",320,0.35,229,"4cdbca3c-2321-43e9-b040-1aa4d87e9672","4518198b-f344-4dde-8e5c-ccde84b813b8"
9780718154776,"Jamie's 30-minute Meals","Oliver, Jamie","Penguin Grp",26,"Food & Drink: General",288,0.3,479,"f89d3ef5-73ef-4f42-ac64-8c4b887d6c32","df1311cc-e0a7-44ef-a2d4-69c3bb8da72a"
9780099457169,"The Broker","Grisham, John","Random House Grp",8,"Crime, Thriller & Adventure",480,0.35,361,"8a5896dd-7919-4d07-be71-0fecf31278d8","c2b16894-3d16-49ba-9259-f10d117aed32"
9780330332774,"Bridget Jones's Diary:A Novel","Fielding, Helen","Pan Macmillan Grp",8,"General & Literary Fiction",320,0.35,197,"a065aa2a-ebb2-458c-ae3a-58c3c1792adb","e8736fa6-771f-4487-b2e1-422fa12fd6b8"
9780241003008,"The Very Hungry Caterpillar:The Very Hungry Caterpillar","Carle, Eric","Penguin Grp",6,"Pre-school & Early Learning",32,0.35,25,"df279480-ad63-45b5-a507-5de249a13a75","5867128e-c096-44ca-851d-aec823ab7a9c"
9780747582977,"Thousand Splendid Suns,A","Hosseini, Khaled","Bloomsbury Grp",12,"General & Literary Fiction",384,0.35,247,"ce25c791-4db2-4064-879a-f67e35df939b","c183760f-af59-4713-ae07-effcc48f356e"
9781846051616,"The Sound of Laughter","Kay, Peter","Random House Grp",19,"Autobiography: General",288,0.35,128,"0d023007-791c-4e55-b2cb-32316d519d02","9a6a08a5-a089-4f08-8a17-20e78376cd77"
9780718147709,"Jamie's Italy","Oliver, Jamie","Penguin Grp",25,"National & Regional Cuisine",336,0.2,297,"f89d3ef5-73ef-4f42-ac64-8c4b887d6c32","f12e4177-97ae-4645-bb88-8a554017ebec"
