"","isbn","title","author","publisher","price","genre"
"56","9780718147709","Jamie's Italy","Oliver, Jamie","Penguin Grp","25","National & Regional Cuisine"
"57","9780755307500","Small Island","Levy, Andrea","Headline Grp","8","General & Literary Fiction"
"58","9780141030142","The Memory Keeper's Daughter","Edwards, Kim","Penguin Grp","8","General & Literary Fiction"
"59","9780007110926","Billy Connolly","Stephenson, Pamela","HarperCollins Grp","9","Biography: The Arts"
"60","9780330448444","The House at Riverton","Morton, Kate","Pan Macmillan Grp","8","General & Literary Fiction"
"61","9780747561071","Harry Potter and the Order of the Phoenix","Rowling, J. K.","Bloomsbury Grp","8","Children's Fiction"
"62","9780701181840","Nigella Express","Lawson, Nigella","Random House Grp","25","Food & Drink: General"
"63","9780099771517","Memoirs of a Geisha","Golden, Arthur","Random House Grp","8","General & Literary Fiction"
"64","9780563384311","Delia's How to Cook:(Bk.2) ","Smith, Delia","Random House Grp","20","Food & Drink: General"
"65","9780590112895","The Subtle Knife:His Dark Materials S.","Pullman, Philip","Scholastic Ltd. Grp","7","Young Adult Fiction"
"66","9780718148621","Jamie's Ministry of Food:Anyone Can Learn to Cook in 24 Hours","Oliver, Jamie","Penguin Grp","25","Food & Drink: General"
"67","9781904994367","Guinness World Records 2009:2009","","Guinness Publisher Group","20","Encyclopedias & General Reference"
"68","9781861978769","Why Don't Penguins' Feet Freeze?:And 114 Other Questions","","Profile Books Group","8","Popular Science"
"69","9780718152437","Jamie at Home:Cook Your Way to the Good Life","Oliver, Jamie","Penguin Grp","30","Food & Drink: General"
"70","9780140276336","White Teeth","Smith, Zadie","Penguin Grp","9","General & Literary Fiction"
"71","9780007156108","The Devil Wears Prada","Weisberger, Lauren","HarperCollins Grp","8","General & Literary Fiction"
"72","9780593059258","At My Mother's Knee ...:and Other Low Joints","O'Grady, Paul","Transworld Grp","19","Autobiography:  The Arts"
"73","9780752893686","No Time for Goodbye","Barclay, Linwood","Orion Grp","8","Crime, Thriller & Adventure"
"74","9780007207329","New York Post Sudoku 3: The Official Utterly Addictive Number-Placing Puzzle","","HarperCollins Grp","6","Puzzles"
"75","9780552998482","Chocolat","Harris, Joanne","Transworld Grp","8","General & Literary Fiction"
"76","9780718144395","The Return of the Naked Chef","Oliver, Jamie","Penguin Grp","20","Food & Drink: General"
"77","9780006498407","Angela's Ashes:A Memoir of a Childhood","McCourt, Frank","HarperCollins Grp","8","Autobiography: General"
"78","9780747563204","Schott's Original Miscellany","Schott, Ben","Bloomsbury Grp","13","Trivia & Quiz Books"
"79","9781847670946","Dreams from My Father:A Story of Race and Inheritance","Obama, Barack","Canongate Grp","9","Autobiography: Historical, Political & Military"
"80","9780007232741","The Dangerous Book for Boys","Iggulden, Conn & Iggulden, Hal","HarperCollins Grp","20","Hobbies, Pastimes & Indoor Games"
"81","9780099419785","To Kill a Mockingbird","Lee, Harper","Random House Grp","7","General & Literary Fiction"
"82","9780747581109","Harry Potter and the Half-blood Prince","Rowling, J. K.","Bloomsbury Grp","17","Science Fiction & Fantasy"
